id,label,Actual values,,,,,,,,,,,,,,
20800,0,0,0,,,,,,,,,,,,,
20801,0,1,1,,,,,,,,,,,,,
20802,1,1,2,,,,,,,,,,,,,
20803,1,0,1,,,,,,,,,,,,,
20804,1,1,2,,,,,,,,,,,,,
20805,1,1,2,,,,,,,,True Stories,,,,Fake Stories,
20806,1,0,1,,,,Total:,5200,,,Total:,2656,,,Total:,2544
20807,1,1,2,,,,Incorrect Outputs:,1910,,,Incorrect Outputs:,1481,,,Incorrect Outputs:,429
20808,1,1,2,,,,Correct Outputs:,3290,,,Correct Outputs:,1175,,,Correct Outputs:,2115
20809,1,1,2,,,,Accuracy: ,0.632692307692308,,,Accuracy:,0.442394578313253,,,Accuracy:,0.831367924528302
20810,0,1,1,,,,,63.27%,,,,44.24%,,,,83.14%
20811,1,1,2,,,,,,,,,,,,,
20812,0,1,1,,,,,,,,,,,,,
20813,1,1,2,,,,,,,,,,,,,
20814,1,1,2,,,,,,,,,,,,,
20815,1,0,1,,,,,,,,,,,,,
20816,0,0,0,,,,,,,,,,,,,
20817,1,0,1,,,,,,,,,,,,,
20818,1,1,2,,,,,,,,,,,,,
20819,1,0,1,,,,,,,,,,,,,
20820,1,1,2,,,,,,,,,,,,,
20821,1,1,2,,,,,,,,,,,,,
20822,1,1,2,,,,,,,,,,,,,
20823,1,1,2,,,,,,,,,,,,,
20824,1,1,2,,,,,,,,,,,,,
20825,0,0,0,,,,,,,,,,,,,
20826,1,1,2,,,,,,,,,,,,,
20827,1,0,1,,,,,,,,,,,,,
20828,0,0,0,,,,,,,,,,,,,
20829,1,1,2,,,,,,,,,,,,,
20830,1,0,1,,,,,,,,,,,,,
20831,1,1,2,,,,,,,,,,,,,
20832,1,0,1,,,,,,,,,,,,,
20833,1,0,1,,,,,,,,,,,,,
20834,1,1,2,,,,,,,,,,,,,
20835,0,0,0,,,,,,,,,,,,,
20836,1,0,1,,,,,,,,,,,,,
20837,1,1,2,,,,,,,,,,,,,
20838,1,1,2,,,,,,,,,,,,,
20839,1,0,1,,,,,,,,,,,,,
20840,0,0,0,,,,,,,,,,,,,
20841,1,0,1,,,,,,,,,,,,,
20842,1,1,2,,,,,,,,,,,,,
20843,1,0,1,,,,,,,,,,,,,
20844,0,0,0,,,,,,,,,,,,,
20845,1,1,2,,,,,,,,,,,,,
20846,1,0,1,,,,,,,,,,,,,
20847,0,0,0,,,,,,,,,,,,,
20848,1,1,2,,,,,,,,,,,,,
20849,1,1,2,,,,,,,,,,,,,
20850,1,0,1,,,,,,,,,,,,,
20851,1,1,2,,,,,,,,,,,,,
20852,1,0,1,,,,,,,,,,,,,
20853,1,1,2,,,,,,,,,,,,,
20854,1,1,2,,,,,,,,,,,,,
