id,label,Actual Values,,,,,,,,,,,,,,,
20800,0,0,0,,,,,,,,,,,,,,
20801,1,1,2,,,,,,,,,,,,,,
20802,1,1,2,,,,,,,,,,,,,,
20803,0,0,0,,,,,,,,,,,,,,
20804,1,1,2,,,,,,,,,,,,,,
20805,1,1,2,,,,,,,,,,,,,,
20806,0,0,0,,,,,,,,,,,,,,
20807,1,1,2,,,,,,,,,,,,,,
20808,1,1,2,,,,,,,,,True Stories,,,,Fake Stories,
20809,1,1,2,,,,,Total:,5200,,,Total:,2656,,,Total:,2544
20810,1,1,2,,,,,Incorrect Outputs:,311,,,Incorrect Outputs:,244,,,Incorrect Outputs:,67
20811,1,1,2,,,,,Correct Outputs:,4889,,,Correct Outputs:,2412,,,Correct Outputs:,2477
20812,1,1,2,,,,,Accuracy: ,0.940192307692308,,,Accuracy:,0.908132530120482,,,Accuracy:,0.973663522012579
20813,1,1,2,,,,,,94.02%,,,,90.81%,,,,97.37%
20814,1,1,2,,,,,,,,,,,,,,
20815,0,0,0,,,,,,,,,,,,,,
20816,0,0,0,,,,,,,,,,,,,,
20817,0,0,0,,,,,,,,,,,,,,
20818,1,1,2,,,,,,,,,,,,,,
20819,1,0,1,,,,,,,,,,,,,,
20820,1,1,2,,,,,,,,,,,,,,
20821,1,1,2,,,,,,,,,,,,,,
20822,1,1,2,,,,,,,,,,,,,,
20823,1,1,2,,,,,,,,,,,,,,
20824,1,1,2,,,,,,,,,,,,,,
20825,0,0,0,,,,,,,,,,,,,,
20826,1,1,2,,,,,,,,,,,,,,
20827,0,0,0,,,,,,,,,,,,,,
20828,0,0,0,,,,,,,,,,,,,,
20829,1,1,2,,,,,,,,,,,,,,
20830,0,0,0,,,,,,,,,,,,,,
20831,1,1,2,,,,,,,,,,,,,,
20832,0,0,0,,,,,,,,,,,,,,
20833,0,0,0,,,,,,,,,,,,,,
20834,1,1,2,,,,,,,,,,,,,,
20835,0,0,0,,,,,,,,,,,,,,
20836,0,0,0,,,,,,,,,,,,,,
20837,1,1,2,,,,,,,,,,,,,,
20838,1,1,2,,,,,,,,,,,,,,
20839,0,0,0,,,,,,,,,,,,,,
20840,0,0,0,,,,,,,,,,,,,,
20841,0,0,0,,,,,,,,,,,,,,
20842,1,1,2,,,,,,,,,,,,,,
20843,0,0,0,,,,,,,,,,,,,,
20844,0,0,0,,,,,,,,,,,,,,
20845,1,1,2,,,,,,,,,,,,,,
20846,0,0,0,,,,,,,,,,,,,,
20847,0,0,0,,,,,,,,,,,,,,
20848,1,1,2,,,,,,,,,,,,,,
20849,1,1,2,,,,,,,,,,,,,,
20850,1,0,1,,,,,,,,,,,,,,
20851,1,1,2,,,,,,,,,,,,,,
20852,0,0,0,,,,,,,,,,,,,,
20853,1,1,2,,,,,,,,,,,,,,
20854,1,1,2,,,,,,,,,,,,,,
20855,0,0,0,,,,,,,,,,,,,,
20856,1,1,2,,,,,,,,,,,,,,
20857,0,0,0,,,,,,,,,,,,,,
20858,1,0,1,,,,,,,,,,,,,,
20859,0,0,0,,,,,,,,,,,,,,
20860,1,1,2,,,,,,,,,,,,,,
20861,1,1,2,,,,,,,,,,,,,,
20862,1,1,2,,,,,,,,,,,,,,
20863,0,0,0,,,,,,,,,,,,,,
20864,1,1,2,,,,,,,,,,,,,,
